id,sentence,prefill_origin,prefill_destination,rule_based_origin,rule_based_destination,ml_origin,ml_destination,flags,priority
1,depuis saint-raphael je veux aller a aix-en-provence,Saint-Raphael,Aix-en-Provence,Saint-Raphael,Aix-en-Provence,Aix-en-Provence,Saint-Raphael,ml_rule_based_diff|ml_prefill_diff,low
2,aller de saint-nazaire vers pris,Saint-Nazaire,Paris,Saint-Nazaire,Paris,Saint-Nazaire,Paris,,none
3,je veux aller a Nice en partant de Saint Etienne,Saint-Etienne,Nice,Saint-Etienne,Nice,Saint-Etienne,Nice,,none
4,je voudrais aller de clermont-ferrand a saint-denis,Clermont-Ferrand,Saint-Denis,Clermont-Ferrand,Saint-Denis,Clermont-Ferrand,Saint-Denis,,none
5,aller de bordeaux vers saint-nazaire,Bordeaux,Saint-Nazaire,Bordeaux,Saint-Nazaire,Bordeaux,Saint-Nazaire,,none
6,billet port-boulet saint-jean-de-luz,Port-Boulet,Saint-Jean-de-Luz,Port-Boulet,Saint-Jean-de-Luz,Saint-Jean-de-Luz,Port-Boulet,ml_rule_based_diff|ml_prefill_diff,low
7,depuis Lyon je veux aller a Saint Etienne,Lyon,Saint-Etienne,Lyon,Saint-Etienne,Lyon,Saint-Etienne,,none
8,depuis dijon je veux aller a saint etienne,Dijon,Saint-Etienne,Dijon,Saint-Etienne,Dijon,Saint-Etienne,,none
9,je voudrais aller de caen a saint-malo,Caen,Saint-Malo,Caen,Saint-Malo,Saint-Malo,Caen,ml_rule_based_diff|ml_prefill_diff,low
10,billet Saint Malo Montaigu,Saint-Malo,Montaigu,Saint-Malo,Montaigu,Saint-Malo,Montaigu,,none
11,je pars de rennes pour saint-jean-de-luz,Rennes,Saint-Jean-de-Luz,Rennes,Saint-Jean-de-Luz,Saint-Jean-de-Luz,Rennes,ml_rule_based_diff|ml_prefill_diff,low
12,billet reims saint-denis,Reims,Saint-Denis,Reims,Saint-Denis,Reims,Saint-Denis,,none
13,aller de Versailles vers La Rochelle,Versailles,La Rochelle,Versailles,La Rochelle,La Rochelle,Versailles,ml_rule_based_diff|ml_prefill_diff,low
14,besoin d un trajet saint-denis tours,Saint-Denis,Tours,Saint-Denis,Tours,Tours,Saint-Denis,ml_rule_based_diff|ml_prefill_diff,low
15,je voudrais aller de saint jean de luz a lyon,Saint-Jean-de-Luz,Lyon,Saint-Jean-de-Luz,Lyon,Saint-Jean-de-Luz,Lyon,,none
