id,sentence,origin,destination,nlp_status,path_status,path_length,path
1,depuis saint-raphael je veux aller a aix-en-provence,Saint-Raphael,Aix-en-Provence,valid,valid,7,Saint-Rapha´l Valescure > Toulon > Marseille Saint-Charles > Saint-Antoine > Simiane > Gardanne > Aix-en-Provence
2,aller de saint-nazaire vers pris,Saint-Nazaire,Paris,valid,valid,3,Saint-Nazaire > Nantes > Paris Montparnasse Hall 1 - 2
3,je veux aller a Nice en partant de Saint Etienne,Saint-Etienne,Nice,valid,valid,8,St-Etienne-Ch¢tcrx. G Routi®re > Valence Gare Routi®re > Valence TGV Rh¥ne-Alpes Sud > Toulon > Les Arcs - Draguignan > Cannes > Antibes > Nice-Ville
4,je voudrais aller de clermont-ferrand a saint-denis,Clermont-Ferrand,Saint-Denis,valid,valid,5,Clermont-Ferrand > Paris Bercy Bourg. Pays d'Auv. > Les Aubrais > Paris Austerlitz > Saint-Denis-Pr®s-Martel
5,aller de bordeaux vers saint-nazaire,Bordeaux,Saint-Nazaire,valid,valid,4,Bordeaux Saint-Jean > Paris Montparnasse Hall 1 - 2 > Nantes > Saint-Nazaire
6,billet port-boulet saint-jean-de-luz,Port-Boulet,Saint-Jean-de-Luz,valid,valid,8,Port Boulet > Saumur > Saint-Pierre-des-Corps > Bordeaux Saint-Jean > Dax > Bayonne > Biarritz > Saint-Jean-de-Luz - Ciboure
7,depuis Lyon je veux aller a Saint Etienne,Lyon,Saint-Etienne,valid,valid,2,Lyon-Part-Dieu Gare Routi®re > St-Etienne-Ch¢tcrx. G Routi®re
8,depuis dijon je veux aller a saint etienne,Dijon,Saint-Etienne,valid,valid,5,Dijon > Marne-la-Vallee Chessy > Chambery - Challes-les-Eaux > Lyon-Part-Dieu Gare Routi®re > St-Etienne-Ch¢tcrx. G Routi®re
9,je voudrais aller de caen a saint-malo,Caen,Saint-Malo,valid,valid,6,Caen > Mantes-la-Jolie > Versailles Chantiers > Paris Montparnasse Hall 1 - 2 > Rennes > Saint-Malo
10,billet Saint Malo Montaigu,Saint-Malo,Montaigu,valid,valid,5,Saint-Malo > Rennes > Nantes > Clisson > Montaigu
11,je pars de rennes pour saint-jean-de-luz,Rennes,Saint-Jean-de-Luz,valid,valid,7,Rennes > Paris Montparnasse Hall 1 - 2 > Bordeaux Saint-Jean > Dax > Bayonne > Biarritz > Saint-Jean-de-Luz - Ciboure
12,billet reims saint-denis,Reims,Saint-Denis,valid,valid,6,Reims > Champagne-Ardenne TGV > Marne-la-Vallee Chessy > Juvisy > Paris Austerlitz > Saint-Denis-Pr®s-Martel
13,aller de Versailles vers La Rochelle,Versailles,La Rochelle,valid,valid,4,Versailles Chantiers > Paris Montparnasse Hall 1 - 2 > Niort > La Rochelle
14,besoin d un trajet saint-denis tours,Saint-Denis,Tours,valid,valid,5,Saint-Denis-de-Pile > Libourne > Bordeaux Saint-Jean > Saint-Pierre-des-Corps > Tours
15,je voudrais aller de saint jean de luz a lyon,Saint-Jean-de-Luz,Lyon,valid,valid,7,Saint-Jean-de-Luz - Ciboure > Biarritz > Bayonne > Dax > Bordeaux Saint-Jean > Massy TGV > Lyon Part Dieu
16,je voudrais aller de saint-raphael a port-boulet,Saint-Raphael,Port-Boulet,valid,valid,7,Saint-Rapha´l Valescure > Toulon > Avignon TGV > Marne-la-Vallee Chessy > Saint-Pierre-des-Corps > Saumur > Port Boulet
17,je souhaite me rendre a valence depuis port boulet,Port-Boulet,Valence,valid,valid,5,Port Boulet > Saumur > Angers Saint-Laud > Paris Montparnasse Hall 1 - 2 > Valence TGV Rh¥ne-Alpes Sud
18,y a t il un train de le mans a cherbougr en passant par Valence,Le Mans,Cherbourg,valid,valid,9,Le Mans > Versailles Chantiers > Mantes-la-Jolie > Caen > Bayeux > Lison > Carentan > Valognes > Cherbourg
