1,depuis saint-raphael je veux aller a aix-en-provence
2,aller de saint-nazaire vers pris
3,je veux aller a Nice en partant de Saint Etienne
4,je voudrais aller de clermont-ferrand a saint-denis
5,aller de bordeaux vers saint-nazaire
6,billet port-boulet saint-jean-de-luz
7,depuis Lyon je veux aller a Saint Etienne
8,depuis dijon je veux aller a saint etienne
9,je voudrais aller de caen a saint-malo
10,billet Saint Malo Montaigu
11,je pars de rennes pour saint-jean-de-luz
12,billet reims saint-denis
13,aller de Versailles vers La Rochelle
14,besoin d un trajet saint-denis tours
15,je voudrais aller de saint jean de luz a lyon
16,je voudrais aller de saint-raphael a port-boulet
17,je souhaite me rendre a valence depuis port boulet
18,y a t il un train de le mans a cherbougr en passant par Valence
19,je veux aller a versailles en partant de limoges en passant par Saint-Malo
20,aller de saint-nazajre vers versailles en passant par Le Mans
21,je souhaite me rendre a poitiers depuis toulon en passant par Saint-Jean-de-Luz
22,je souhaite me rendre a saint-nazaire depuis montpellier en passant par Aix-en-Provence
23,depuis aix-en-provence je veux aller a lyon en passant par Perpginan
24,depuis limoges je veux aller a rouen en passant par Port-Boulet
25,depart Orleans destination Paris en passant par Rouen
26,trains saint-malo angers en passant par Bayonne
27,y a t il un train de saint denis a bordeaux en passant par Amiens
28,est ce quil y a des trains vers paris depuis versailles en passant par Angers
29,billet metz caen en passant par Saint-Malo
30,est ce quil y a des trains vers perpignan depuis lyon en passant par Tours
31,aller de Saint-Nazaire vers Saint-Malo en passant par Aix-en-Provence
32,je veux un billet de Nancy pour Montaigu en passant par Versailles
33,depuis brest je veux aller a marseille en passant par Perpignan
34,depart versailles destination dijon en passant par Bayonne
35,depart cannes destination rouen
36,depart bayonne destination le havre
37,depart reims destination nantes
38,depart strasbourg destination poitiers
39,depart le havre destination versailles
40,depart Tours destination Bayonne
41,depart tours destination avignon
42,depart reims destination avignon
43,depart Strasbourg destination Saint-Nazaire
44,depart Annecy destination Le Mans
45,depart dijok destination versailles
46,depart caen destination avignon
47,depart bayonne destination saint-malo
48,depart brest destination montpellier
49,depart aix en provence destination montaigu
50,depart angers destination limoges
