1,Saint-Raphael,Aix-en-Provence
2,Saint-Nazaire,Paris
3,Saint-Etienne,Nice
4,Clermont-Ferrand,Saint-Denis
5,Bordeaux,Saint-Nazaire
6,Port-Boulet,Saint-Jean-de-Luz
7,Lyon,Saint-Etienne
8,Dijon,Saint-Etienne
9,Caen,Saint-Malo
10,Saint-Malo,Montaigu
11,Rennes,Saint-Jean-de-Luz
12,Reims,Saint-Denis
13,Versailles,La Rochelle
14,Saint-Denis,Tours
15,Saint-Jean-de-Luz,Lyon
16,Saint-Raphael,Port-Boulet
17,Port-Boulet,Valence
18,Le Mans,Cherbourg
19,Limoges,Versailles
20,Saint-Nazaire,Versailles
21,Toulon,Poitiers
22,Montpellier,Saint-Nazaire
23,Aix-en-Provence,Lyon
24,Limoges,Rouen
25,Orleans,Paris
26,Saint-Malo,Angers
27,Saint-Denis,Bordeaux
28,Versailles,Paris
29,Metz,Caen
30,Lyon,Perpignan
31,Saint-Nazaire,Saint-Malo
32,Nancy,Montaigu
33,Brest,Marseille
34,Versailles,Dijon
35,Cannes,Rouen
36,Bayonne,Le Havre
37,Reims,Nantes
38,Strasbourg,Poitiers
39,Le Havre,Versailles
40,Tours,Bayonne
41,Tours,Avignon
42,Reims,Avignon
43,Strasbourg,Saint-Nazaire
44,Annecy,Le Mans
45,Dijon,Versailles
46,Caen,Avignon
47,Bayonne,Saint-Malo
48,Brest,Montpellier
49,Aix-en-Provence,Montaigu
50,Angers,Limoges
51,Troyes,Angers
52,Port-Boulet,Strasbourg
53,Rouen,Caen
54,INVALID,
55,Montpellier,Paris
56,Angers,Clermont-Ferrand
57,Metz,Montpellier
58,Nice,Vannes
59,Rouen,Saint-Etienne
60,Paris,Valence
61,Cannes,Lille
62,Caen,Bayonne
63,Aix-en-Provence,Le Mans
64,Saint-Malo,Cannes
65,Albert,Troyes
66,Saint-Etienne,Limoges
67,Nancy,Le Havre
68,Cannes,Aix-en-Provence
69,Orleans,Aix-en-Provence
70,Saint-Denis,Nancy
71,Metz,Saint-Denis
72,Paris,Brest
73,Saint-Raphael,Versailles
74,Vannes,Rennes
75,Nice,Marseille
76,INVALID,
77,Strasbourg,Saint-Etienne
78,Valence,Metz
79,Le Mans,Colmar
80,Angers,Saint-Etienne
81,Toulon,Avignon
82,Toulon,Montpellier
83,Amiens,Aix-en-Provence
84,Albert,Nice
85,Strasbourg,Angers
86,Le Havre,Le Mans
87,Le Mans,Clermont-Ferrand
88,Le Mans,Le Havre
89,Aix-en-Provence,Brest
90,Aix-en-Provence,Saint-Raphael
91,Rouen,Le Havre
92,Perpignan,Saint-Malo
93,Aix-en-Provence,Saint-Denis
94,Tours,Le Havre
95,Aix-en-Provence,Orleans
96,Nice,Le Mans
97,Le Mans,Nancy
98,Le Havre,Aix-en-Provence
99,Le Mans,Toulon
100,Le Havre,Orleans
101,Lille,Aix-en-Provence
102,Le Mans,Valence
103,INVALID,
104,Dijon,Troyes
105,Lyon,Orleans
106,Grenoble,Toulon
107,Toulon,Nantes
108,Nancy,Clermont-Ferrand
109,Lille,Marseille
110,Biarritz,Tours
111,Rennes,Grenoble
112,Montpellier,Paris
113,Reims,Strasbourg
114,Troyes,Toulouse
115,Montpellier,Paris
116,Orleans,Nancy
117,Annecy,Troyes
118,INVALID,
119,INVALID,
120,INVALID,
