stop_id,stop_name,normalized
StopArea:OCE71043075,FIGUERES-VILAFANT,figueres vilafant
StopArea:OCE71718010,Barcelone-Sants,barcelone sants
StopArea:OCE71793000,GIRONA,girona
StopArea:OCE71793150,Portbou,portbou
StopArea:OCE80021402,Augsburg Hbf,augsburg hbf
StopArea:OCE80077990,Berlin-Gesundbrunnen,berlin gesundbrunnen
StopArea:OCE80110684,Francfort sur le Main,francfort sur le main
StopArea:OCE80140087,Mannheim Hbf,mannheim hbf
StopArea:OCE80142281,Karlsruhe Hbf,karlsruhe hbf
StopArea:OCE80142778,Baden-Baden,baden baden
StopArea:OCE80142893,Appenweier,appenweier
StopArea:OCE80142901,Legelshurst,legelshurst
StopArea:OCE80142919,Kork,kork
StopArea:OCE80142927,Kehl,kehl
StopArea:OCE80143099,Offenburg,offenburg
StopArea:OCE80143198,Lahr (Schwarzw),lahr schwarzw
StopArea:OCE80143255,Ringsheim,ringsheim
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,freiburg breisgau hbf
StopArea:OCE80144139,Muellheim (Baden),muellheim baden
StopArea:OCE80144154,Neuenburg (Baden),neuenburg baden
StopArea:OCE80160432,Erfurt Hbf,erfurt hbf
StopArea:OCE80190512,Mainz Hbf,mainz hbf
StopArea:OCE80190603,Nierstein,nierstein
StopArea:OCE80190686,Worms Hbf,worms hbf
StopArea:OCE80190736,Frankenthal Hbf,frankenthal hbf
StopArea:OCE80190827,Ludwigshafen (Rhein) Hbf,ludwigshafen rhein hbf
StopArea:OCE80191031,Woerth (Rhein),woerth rhein
StopArea:OCE80191049,Hagenbach,hagenbach
StopArea:OCE80191064,Berg (Pfalz),berg pfalz
StopArea:OCE80194043,Neustadt (Weinstr) Hbf,neustadt weinstr hbf
StopArea:OCE80194209,Maikammer-Kirrweiler,maikammer kirrweiler
StopArea:OCE80194217,Edenkoben,edenkoben
StopArea:OCE80194225,Edesheim (Pfalz),edesheim pfalz
StopArea:OCE80194233,Knöringen-Essingen,kn ringen essingen
StopArea:OCE80194266,Landau (Pfalz) Hbf,landau pfalz hbf
StopArea:OCE80194308,Insheim,insheim
StopArea:OCE80194316,Rohrbach (Pfalz),rohrbach pfalz
StopArea:OCE80194324,Winden (Pfalz),winden pfalz
StopArea:OCE80194332,Schaidt (Pfalz),schaidt pfalz
StopArea:OCE80196980,Kaiserslautern Hbf,kaiserslautern hbf
StopArea:OCE80197871,Kapsweyer,kapsweyer
StopArea:OCE80203471,Munich,munich
StopArea:OCE80230029,Halle (Saale) Hbf,halle saale hbf
StopArea:OCE80251819,Trèves,tr ves
StopArea:OCE80251850,Konz Mitte,konz mitte
StopArea:OCE80251967,Perl,perl
StopArea:OCE80253914,Sarrebruck,sarrebruck
StopArea:OCE80290346,Stuttgart Hbf,stuttgart hbf
StopArea:OCE80291039,Ulm Hbf,ulm hbf
StopArea:OCE80359331,Steinfeld (Pfalz),steinfeld pfalz
StopArea:OCE80359349,Schweighofen,schweighofen
StopArea:OCE80646133,Maximiliansau Im Ruesten,maximiliansau im ruesten
StopArea:OCE80646141,Neuburg (Rhein),neuburg rhein
StopArea:OCE80659698,Berlin Hbf-Lehrter Bahnhof Nord,berlin hbf lehrter bahnhof nord
StopArea:OCE80659714,Berlin Suedkreuz,berlin suedkreuz
StopArea:OCE80920793,Neustadt (Weinstraße) Süd,neustadt weinstra ue s d
StopArea:OCE82001000,Luxembourg,luxembourg
StopArea:OCE82002501,Howald,howald
StopArea:OCE82006030,Bettembourg,bettembourg
StopArea:OCE82007104,Luxembourg secteur Hollerich,luxembourg secteur hollerich
StopArea:OCE82007146,Dippach secteur Reckange,dippach secteur reckange
StopArea:OCE82007187,Bascharage secteur Sanem,bascharage secteur sanem
StopArea:OCE82009300,Petange,petange
StopArea:OCE82009407,Rodange,rodange
StopArea:OCE82260018,Bettembourg Gare,bettembourg gare
StopArea:OCE82916015,Luxembourg Gare,luxembourg gare
StopArea:OCE83000356,Turin Porta Susa,turin porta susa
StopArea:OCE83002048,OULX CESANA CLAVIERE SESTRIERE,oulx cesana claviere sestriere
StopArea:OCE83002196,TORINO PORTA NUOVA,torino porta nuova
StopArea:OCE83016451,MILANO PORTA GARIBALDI,milano porta garibaldi
StopArea:OCE83045013,VENTIMIGLIA,ventimiglia
StopArea:OCE85000109,Basel SBB,basel sbb
StopArea:OCE85010009,Zimeysa,zimeysa
StopArea:OCE85010017,La Plaine (Suisse),la plaine suisse
StopArea:OCE85010025,Russin,russin
StopArea:OCE85010033,Satigny,satigny
StopArea:OCE85010066,Meyrin,meyrin
StopArea:OCE85010074,Vernier,vernier
StopArea:OCE85010082,Genève Cornavin,gen ve cornavin
StopArea:OCE85010116,Les Tuileries,les tuileries
StopArea:OCE85010124,Creux-de-Genthod,creux de genthod
StopArea:OCE85010132,Pont-Céard,pont c ard
StopArea:OCE85010140,Mies,mies
StopArea:OCE85010157,Tannay,tannay
StopArea:OCE85010207,Chambésy,chamb sy
StopArea:OCE85010215,Genthod-Bellevue,genthod bellevue
StopArea:OCE85010223,Versoix,versoix
StopArea:OCE85010231,Coppet,coppet
StopArea:OCE85010264,Geneve-Aeroport,geneve aeroport
StopArea:OCE85011031,Vallorbe,vallorbe
StopArea:OCE85011205,Lausanne,lausanne
StopArea:OCE85015008,Martigny,martigny
StopArea:OCE85015610,Vernayaz MC,vernayaz mc
StopArea:OCE85015628,Salvan,salvan
StopArea:OCE85015636,Les Marécottes,les mar cottes
StopArea:OCE85015644,Le Trétien,le tr tien
StopArea:OCE85015651,Finhaut,finhaut
StopArea:OCE85015669,Le Chatelard VS,le chatelard vs
StopArea:OCE85015685,Le Châtelard Frontière,le ch telard fronti re
StopArea:OCE85030007,Zuerich HB,zuerich hb
StopArea:OCE85042150,Travers,travers
StopArea:OCE85042218,Neuchatel,neuchatel
StopArea:OCE85043141,La Chaux-de-Fonds,la chaux de fonds
StopArea:OCE85043158,Le Crêt-du-Locle,le cr t du locle
StopArea:OCE85043166,Le Locle,le locle
StopArea:OCE85043216,La Chaux-de-Fonds Les Forges,la chaux de fonds les forges
StopArea:OCE85070003,Bern,bern
StopArea:OCE85161554,Lancy-Pont-Rouge,lancy pont rouge
StopArea:OCE85162727,Genève-Champel,gen ve champel
StopArea:OCE85162735,Genève-Eaux-Vives,gen ve eaux vives
StopArea:OCE85162743,Chêne-Bourg,ch ne bourg
StopArea:OCE85162834,Genève-Sécheron,gen ve s cheron
StopArea:OCE85171421,Lancy-Bachet,lancy bachet
StopArea:OCE85303032,Les Fumeaux,les fumeaux
StopArea:OCE85303347,La Médettaz,la m dettaz
StopArea:OCE85927137,Chêne-Bourg Place Favre,ch ne bourg place favre
StopArea:OCE85928291,Genève Eaux-Vives Gare,gen ve eaux vives gare
StopArea:OCE87009696,La Douzillère,la douzill re
StopArea:OCE87024380,Le Puy-en-Velay Lafayette,le puy en velay lafayette
StopArea:OCE87107409,Vignory Centre,vignory centre
StopArea:OCE87107417,Chaumont Hôpital,chaumont h pital
StopArea:OCE87107425,Bologne Salle des Fêtes,bologne salle des f tes
StopArea:OCE87107433,Soncourt,soncourt
StopArea:OCE87107458,Gudmont-Centre,gudmont centre
StopArea:OCE87107466,Eurville Mairie,eurville mairie
StopArea:OCE87107474,Saint-Dizier Godard-Jeanson,saint dizier godard jeanson
StopArea:OCE87107482,Chatonrupt,chatonrupt
StopArea:OCE87107490,Fronville Lotissement,fronville lotissement
StopArea:OCE87107508,Marnaval Église,marnaval aglise
StopArea:OCE87108829,Sedan Place Calonne,sedan place calonne
StopArea:OCE87109306,Lille Centre Hospitalier Régional,lille centre hospitalier r gional
StopArea:OCE87110346,Ervy-le-Châtel Halles,ervy le ch tel halles
StopArea:OCE87110361,Villeneuve-au-Chemin,villeneuve au chemin
StopArea:OCE87110379,Fays-la-Chapelle,fays la chapelle
StopArea:OCE87111849,Marne-la-Vallée Chessy,marne la vall e chessy
StopArea:OCE87111864,Balsièges Bourg,balsi ges bourg
StopArea:OCE87112326,Carignan Rue de la Paix,carignan rue de la paix
StopArea:OCE87112334,Wé,w
StopArea:OCE87112342,Fromy,fromy
StopArea:OCE87112714,Margut Place Trouslard,margut place trouslard
StopArea:OCE87112771,Saint-Hilaire-sous-Romilly,saint hilaire sous romilly
